Cart Items,SKU,Qty,Item Price,Item Total
"Apple Mix-HS 
(Size: 30ml Original Packaging)",35027,1,$6.75 USD,$6.75 USD
"RY4-HS 
(Size: 10ml Original Packaging)",15018,1,$3.95 USD,$3.95 USD
"Sugar Cookie-Cap 
(Size: 30ml)",31068,2,$4.50 USD,$9.00 USD
"Tab Blended-HS 
(Size: 10ml Original Packaging)",15009,1,$3.95 USD,$3.95 USD
