ID,Flavor,Density,Score,Cost,Volume,Cost per ml,Stock Level
6795,(LB) White Chocolate Peppermint,0.0,0.0,3.50,25.0,0.14,50.0
186,(TPA) Vanilla Bean Ice Cream,0.0,0.0,0.0,0.0,0.35,30.0
530,(FA) Meringue,0.0,2.0,0.0,0.0,0.0,120.0
180,(TPA) Popcorn,0.0,3.0,0.0,0.0,0.0,0.0
6679,(MPV) 10Forty,0.0,0.0,7.0,100.0,0.0,0.0
5504,(MFS) 4-Star General,0.0,0.0,0.0,0.0,0.0,0.0
